currentNumberOfWords,maxNumberOfWords,currentTime,timeWithMaxWords,convergenceTime,maxNumberOfDifferentWords,currentNumberOfDifferentWords
0,0,0,0,0,0,0
0,0,1,0,1,0,0
2,2,2,2,2,1,1
4,4,3,3,3,2,2
6,6,4,4,4,3,3
7,7,5,5,5,3,3
9,9,6,6,6,4,4
11,11,7,7,7,5,5
13,13,8,8,8,6,6
15,15,9,9,9,7,7
17,17,10,10,10,8,8
19,19,11,11,11,9,9
21,21,12,12,12,10,10
23,23,13,13,13,11,11
25,25,14,14,14,12,12
27,27,15,15,15,13,13
29,29,16,16,16,14,14
31,31,17,17,17,15,15
33,33,18,18,18,16,16
35,35,19,19,19,17,17
36,36,20,20,20,17,17
38,38,21,21,21,18,18
40,40,22,22,22,19,19
42,42,23,23,23,20,20
44,44,24,24,24,21,21
46,46,25,25,25,22,22
47,47,26,26,26,22,22
49,49,27,27,27,23,23
51,51,28,28,28,24,24
53,53,29,29,29,25,25
54,54,30,30,30,25,25
56,56,31,31,31,26,26
57,57,32,32,32,26,26
59,59,33,33,33,27,27
61,61,34,34,34,28,28
63,63,35,35,35,29,29
65,65,36,36,36,30,30
66,66,37,37,37,30,30
68,68,38,38,38,31,31
68,68,39,38,39,31,31
70,70,40,40,40,32,32
72,72,41,41,41,33,33
74,74,42,42,42,34,34
76,76,43,43,43,35,35
78,78,44,44,44,36,36
79,79,45,45,45,36,36
81,81,46,46,46,37,37
82,82,47,47,47,37,37
84,84,48,48,48,38,38
86,86,49,49,49,39,39
87,87,50,50,50,39,39
87,87,51,50,51,39,39
89,89,52,52,52,40,40
91,91,53,53,53,41,41
93,93,54,54,54,42,42
95,95,55,55,55,43,43
97,97,56,56,56,44,44
98,98,57,57,57,44,44
99,99,58,58,58,44,44
101,101,59,59,59,45,45
103,103,60,60,60,46,46
104,104,61,61,61,46,46
104,104,62,61,62,46,46
106,106,63,63,63,47,47
107,107,64,64,64,47,47
109,109,65,65,65,48,48
111,111,66,66,66,49,49
112,112,67,67,67,49,49
113,113,68,68,68,49,49
114,114,69,69,69,49,49
113,114,70,69,70,49,49
115,115,71,71,71,50,50
116,116,72,72,72,50,50
118,118,73,73,73,51,51
119,119,74,74,74,51,51
121,121,75,75,75,52,52
122,122,76,76,76,52,52
123,123,77,77,77,52,52
125,125,78,78,78,53,53
126,126,79,79,79,53,53
128,128,80,80,80,54,54
129,129,81,81,81,54,54
129,129,82,81,82,54,54
131,131,83,83,83,55,55
132,132,84,84,84,55,55
134,134,85,85,85,56,56
136,136,86,86,86,57,57
137,137,87,87,87,57,57
139,139,88,88,88,58,58
141,141,89,89,89,59,59
142,142,90,90,90,59,59
143,143,91,91,91,59,59
144,144,92,92,92,59,59
146,146,93,93,93,60,60
147,147,94,94,94,60,60
149,149,95,95,95,61,61
150,150,96,96,96,61,61
151,151,97,97,97,61,61
152,152,98,98,98,61,61
151,152,99,98,99,61,61
153,153,100,100,100,62,62
154,154,101,101,101,62,62
156,156,102,102,102,63,63
